date,snow_depth_in,swe_in,precip_in,year,month
2007-10-01,0.0,0.0,0.0,2007,10
2007-11-01,0.0,0.0,19.1,2007,11
2007-12-01,,4.3,31.1,2007,12
2008-01-01,,25.8,61.0,2008,1
2008-02-01,,46.3,83.0,2008,2
2008-03-01,,68.0,104.0,2008,3
2008-04-01,,84.9,122.4,2008,4
2008-05-01,,93.2,139.7,2008,5
2008-06-01,,79.4,150.7,2008,6
2008-07-01,,64.2,163.2,2008,7
2008-08-01,0.0,18.1,167.8,2008,8
2008-09-01,0.0,0.0,177.5,2008,9
2008-10-01,0.0,0.0,0.0,2008,10
2008-11-01,0.0,0.3,9.4,2008,11
2008-12-01,1.0,0.7,43.1,2008,12
2009-01-01,73.0,24.0,69.7,2009,1
2009-02-01,77.0,35.7,101.9,2009,2
2009-03-01,91.0,41.2,108.8,2009,3
2009-04-01,160.0,62.7,131.7,2009,4
2009-05-01,134.0,70.1,142.5,2009,5
2009-06-01,90.0,54.4,153.8,2009,6
2009-07-01,24.0,18.7,156.6,2009,7
2009-08-01,0.0,0.0,157.1,2009,8
2009-09-01,0.0,0.0,161.3,2009,9
2009-10-01,1.0,0.0,0.0,2009,10
2009-11-01,0.0,0.3,21.4,2009,11
2009-12-01,28.0,12.7,47.0,2009,12
2010-01-01,32.0,15.9,57.6,2010,1
2010-02-01,26.0,16.1,75.8,2010,2
2010-03-01,28.0,16.9,82.6,2010,3
2010-04-01,67.0,31.6,98.4,2010,4
2010-05-01,65.0,35.1,110.8,2010,5
2010-06-01,46.0,29.8,128.8,2010,6
2010-07-01,0.0,0.0,138.4,2010,7
2010-08-01,0.0,0.0,139.4,2010,8
2010-09-01,0.0,0.0,146.2,2010,9
2010-10-01,0.0,0.0,0.0,2010,10
2010-11-01,1.0,1.7,17.3,2010,11
2010-12-01,21.0,8.2,37.3,2010,12
2011-01-01,42.0,13.9,62.7,2011,1
2011-02-01,39.0,18.5,93.1,2011,2
2011-03-01,85.0,30.3,110.8,2011,3
2011-04-01,98.0,46.3,140.6,2011,4
2011-05-01,139.0,66.0,161.0,2011,5
2011-06-01,110.0,63.0,176.1,2011,6
2011-07-01,61.0,45.0,185.9,2011,7
2011-08-01,0.0,2.1,193.4,2011,8
2011-09-01,0.0,0.0,196.2,2011,9
2011-10-01,0.0,0.0,0.0,2011,10
2011-11-01,0.0,0.2,15.8,2011,11
2011-12-01,29.0,11.1,33.8,2011,12
2012-01-01,34.0,14.7,44.4,2012,1
2012-02-01,62.0,27.6,66.0,2012,2
2012-03-01,110.0,42.9,89.8,2012,3
2012-04-01,140.0,67.4,113.3,2012,4
2012-05-01,118.0,68.1,127.0,2012,5
2012-06-01,84.0,53.9,140.3,2012,6
2012-07-01,36.0,25.9,154.3,2012,7
2012-08-01,0.0,0.0,157.3,2012,8
2012-09-01,0.0,0.0,157.7,2012,9
2012-10-01,0.0,0.0,0.0,2012,10
2012-11-01,0.0,0.0,26.3,2012,11
2012-12-01,5.0,2.8,44.7,2012,12
2013-01-01,83.0,29.3,74.9,2013,1
2013-02-01,115.0,50.3,101.8,2013,2
2013-03-01,139.0,67.1,118.2,2013,3
2013-04-01,135.0,73.7,137.1,2013,4
2013-05-01,132.0,76.6,159.2,2013,5
2013-06-01,83.0,54.5,168.3,2013,6
2013-07-01,14.0,11.1,174.8,2013,7
2013-08-01,0.0,0.0,174.8,2013,8
2013-09-01,0.0,0.0,179.7,2013,9
2013-10-01,0.0,0.0,0.0,2013,10
2013-11-01,0.0,0.0,5.3,2013,11
2013-12-01,7.0,4.7,27.9,2013,12
2014-01-01,22.0,12.2,45.6,2014,1
2014-02-01,47.0,21.9,66.8,2014,2
2014-03-01,87.0,37.5,85.1,2014,3
2014-04-01,90.0,47.9,119.9,2014,4
2014-05-01,81.0,48.6,137.5,2014,5
2014-06-01,33.0,21.9,150.0,2014,6
2014-07-01,0.0,0.0,157.3,2014,7
2014-08-01,0.0,0.0,161.0,2014,8
2014-09-01,0.0,0.0,165.5,2014,9
2014-10-01,0.0,0.0,0.0,2014,10
2014-11-01,0.0,0.0,18.9,2014,11
2014-12-01,6.0,1.1,45.4,2014,12
2015-01-01,17.0,4.2,61.3,2015,1
2015-02-01,3.0,1.6,82.8,2015,2
2015-03-01,0.0,0.0,97.5,2015,3
2015-04-01,4.0,0.8,110.3,2015,4
2015-05-01,0.0,0.0,119.1,2015,5
2015-06-01,0.0,0.0,121.5,2015,6
2015-07-01,0.0,0.0,,2015,7
2015-08-01,0.0,0.0,,2015,8
2015-09-01,0.0,0.0,,2015,9
2015-10-01,0.0,0.0,0.0,2015,10
2015-11-01,0.0,0.0,21.3,2015,11
2015-12-01,7.0,2.1,45.5,2015,12
2016-01-01,55.0,16.2,75.5,2016,1
2016-02-01,48.0,20.3,94.2,2016,2
2016-03-01,49.0,24.2,115.4,2016,3
2016-04-01,71.0,36.8,136.2,2016,4
2016-05-01,51.0,27.2,142.2,2016,5
2016-06-01,0.0,0.0,148.7,2016,6
2016-07-01,0.0,0.0,157.2,2016,7
2016-08-01,0.0,0.0,161.5,2016,8
2016-09-01,0.0,0.0,163.1,2016,9
2016-10-01,0.0,0.0,0.0,2016,10
2016-11-01,0.0,0.0,29.5,2016,11
2016-12-01,22.0,8.6,53.8,2016,12
2017-01-01,83.0,30.4,76.7,2017,1
2017-02-01,72.0,35.1,84.1,2017,2
2017-03-01,113.0,48.8,106.0,2017,3
2017-04-01,117.0,62.2,136.6,2017,4
2017-05-01,112.0,65.5,150.9,2017,5
2017-06-01,67.0,43.3,159.8,2017,6
2017-07-01,1.0,0.5,165.7,2017,7
2017-08-01,0.0,0.0,165.7,2017,8
2017-09-01,0.0,0.0,166.7,2017,9
2017-10-01,0.0,0.0,0.0,2017,10
2017-11-01,0.0,0.0,15.4,2017,11
2017-12-01,22.0,8.1,43.3,2017,12
2018-01-01,41.0,15.9,62.5,2018,1
2018-02-01,84.0,31.4,93.9,2018,2
2018-03-01,110.0,45.3,118.7,2018,3
2018-04-01,119.0,56.5,130.6,2018,4
2018-05-01,123.0,67.9,159.3,2018,5
2018-06-01,65.0,40.2,162.4,2018,6
2018-07-01,8.0,4.3,168.8,2018,7
2018-08-01,0.0,0.0,169.8,2018,8
2018-09-01,0.0,0.0,172.3,2018,9
2018-10-01,0.0,0.0,0.0,2018,10
2018-11-01,0.0,0.0,14.1,2018,11
2018-12-01,6.0,2.8,37.5,2018,12
2019-01-01,29.0,10.3,57.8,2019,1
2019-02-01,27.0,12.8,71.4,2019,2
2019-03-01,67.0,26.2,84.1,2019,3
2019-04-01,61.0,30.8,89.6,2019,4
2019-05-01,54.0,26.9,104.9,2019,5
2019-06-01,0.0,0.0,109.0,2019,6
2019-07-01,0.0,0.0,114.8,2019,7
2019-08-01,0.0,0.0,119.1,2019,8
2019-09-01,0.0,0.0,121.0,2019,9
2019-10-01,0.0,0.0,0.0,2019,10
2019-11-01,0.0,0.0,17.5,2019,11
2019-12-01,5.0,1.9,26.2,2019,12
2020-01-01,7.0,3.4,48.1,2020,1
2020-02-01,59.0,26.2,98.2,2020,2
2020-03-01,99.0,42.1,125.7,2020,3
2020-04-01,128.0,55.3,142.5,2020,4
2020-05-01,95.0,51.2,150.4,2020,5
2020-06-01,51.0,30.9,163.4,2020,6
2020-07-01,0.0,0.0,173.5,2020,7
2020-08-01,0.0,0.0,176.2,2020,8
2020-09-01,0.0,0.0,178.4,2020,9
2020-10-01,0.0,0.0,0.0,2020,10
2020-11-01,0.0,0.0,19.0,2020,11
2020-12-01,21.0,7.7,39.8,2020,12
2021-01-01,49.0,19.6,64.7,2021,1
2021-02-01,54.0,24.6,84.4,2021,2
2021-03-01,119.0,52.5,116.6,2021,3
2021-04-01,142.0,67.8,129.1,2021,4
2021-05-01,115.0,67.4,135.1,2021,5
2021-06-01,75.0,48.3,142.4,2021,6
2021-07-01,0.0,0.0,146.8,2021,7
2021-08-01,0.0,0.0,147.1,2021,8
2021-09-01,0.0,0.0,151.0,2021,9
2021-10-01,0.0,0.0,0.0,2021,10
2021-11-01,0.0,0.0,18.6,2021,11
2021-12-01,0.0,0.2,54.2,2021,12
2022-01-01,63.0,17.6,77.6,2022,1
2022-02-01,66.0,27.6,107.2,2022,2
2022-03-01,73.0,35.4,126.1,2022,3
2022-04-01,89.0,44.2,143.0,2022,4
2022-05-01,98.0,53.7,153.7,2022,5
2022-06-01,74.0,43.8,169.7,2022,6
2022-07-01,10.0,8.9,182.4,2022,7
2022-08-01,0.0,0.0,183.4,2022,8
2022-09-01,0.0,0.0,184.2,2022,9
2022-10-01,0.0,0.0,0.0,2022,10
2022-11-01,0.0,0.0,13.6,2022,11
2022-12-01,29.0,9.7,33.6,2022,12
2023-01-01,49.0,21.7,54.4,2023,1
2023-02-01,59.0,26.2,64.0,2023,2
2023-03-01,97.0,39.9,80.9,2023,3
2023-04-01,118.0,50.9,92.4,2023,4
2023-05-01,108.0,56.5,105.1,2023,5
2023-06-01,43.0,25.1,108.4,2023,6
2023-07-01,0.0,0.1,113.6,2023,7
2023-08-01,0.0,0.0,114.8,2023,8
2023-09-01,0.0,0.0,116.4,2023,9
2023-10-01,0.0,0.0,0.0,2023,10
2023-11-01,0.0,0.0,6.6,2023,11
2023-12-01,3.0,2.8,24.8,2023,12
2024-01-01,15.0,6.4,51.8,2024,1
2024-02-01,35.0,15.8,77.4,2024,2
2024-03-01,64.0,25.6,95.4,2024,3
2024-04-01,71.0,34.8,106.1,2024,4
2024-05-01,65.0,33.4,118.5,2024,5
2024-06-01,30.0,17.9,131.2,2024,6
2024-07-01,0.0,0.0,143.8,2024,7
2024-08-01,0.0,0.0,147.2,2024,8
2024-09-01,0.0,0.0,153.2,2024,9
2024-10-01,0.0,0.0,0.0,2024,10
2024-11-01,1.0,0.1,17.1,2024,11
2024-12-01,12.0,4.3,34.2,2024,12
2025-01-01,30.0,11.3,57.7,2025,1
2025-02-01,36.0,16.2,66.7,2025,2
2025-03-01,47.0,24.5,83.4,2025,3
2025-04-01,66.0,32.4,101.8,2025,4
2025-05-01,52.0,27.8,110.2,2025,5
2025-06-01,4.0,1.9,116.0,2025,6
2025-07-01,0.0,0.0,119.0,2025,7
2025-08-01,0.0,0.0,119.2,2025,8
2025-09-01,0.0,0.0,129.2,2025,9
2025-10-01,0.0,0.0,0.0,2025,10
2025-11-01,0.0,0.2,15.5,2025,11
2025-12-01,0.0,1.5,38.7,2025,12
2026-01-01,30.0,9.4,73.9,2026,1
2026-02-01,35.0,15.9,92.0,2026,2
